new_seg_id,seg_id,deb,clip,st_frm,st_sec,fid,ed_vote,change,side,fold,dur_sec
109,131,150627,16,20,10,3,0.58,0.3,1,0,88
110,132,150627,16,47,23.5,3,0.58,0.3,1,0,88
111,133,150627,16,78,39,3,0.58,0.3,1,0,88
112,134,150627,16,113,56.5,3,0.58,0.3,1,0,88
113,135,150627,16,143,71.5,3,0.58,0.3,1,0,88
114,136,150627,17,2,1,4,0.7,0.28,0,0,271
115,137,150627,17,28,14,4,0.7,0.28,0,0,271
116,138,150627,17,57,28.5,4,0.7,0.28,0,0,271
117,139,150627,17,87,43.5,4,0.7,0.28,0,0,271
118,140,150627,17,120,60,4,0.7,0.28,0,0,271
119,141,150627,17,152,76,4,0.7,0.28,0,0,271
120,142,150627,17,182,91,4,0.7,0.28,0,0,271
121,143,150627,17,208,104,4,0.7,0.28,0,0,271
122,144,150627,17,238,119,4,0.7,0.28,0,0,271
123,145,150627,17,267,133.5,4,0.7,0.28,0,0,271
124,146,150627,17,295,147.5,4,0.7,0.28,0,0,271
125,147,150627,17,321,160.5,4,0.7,0.28,0,0,271
126,148,150627,17,345,172.5,4,0.7,0.28,0,0,271
127,149,150627,17,380,190,4,0.7,0.28,0,0,271
128,150,150627,17,411,205.5,4,0.7,0.28,0,0,271
129,151,150627,17,440,220,4,0.7,0.28,0,0,271
130,152,150627,17,472,236,4,0.7,0.28,0,0,271
131,153,150627,17,506,253,4,0.7,0.28,0,0,271
132,154,150627,18,4,2,5,0.5,0.2,1,0,250
133,155,150627,18,34,17,5,0.5,0.2,1,0,250
134,156,150627,18,65,32.5,5,0.5,0.2,1,0,250
135,157,150627,18,97,48.5,5,0.5,0.2,1,0,250
136,158,150627,18,129,64.5,5,0.5,0.2,1,0,250
137,159,150627,18,157,78.5,5,0.5,0.2,1,0,250
138,160,150627,18,192,96,5,0.5,0.2,1,0,250
139,161,150627,18,222,111,5,0.5,0.2,1,0,250
140,162,150627,18,250,125,5,0.5,0.2,1,0,250
141,163,150627,18,284,142,5,0.5,0.2,1,0,250
142,164,150627,18,316,158,5,0.5,0.2,1,0,250
143,165,150627,18,343,171.5,5,0.5,0.2,1,0,250
144,166,150627,18,377,188.5,5,0.5,0.2,1,0,250
145,167,150627,18,404,202,5,0.5,0.2,1,0,250
146,168,150627,18,442,221,5,0.5,0.2,1,0,250
147,169,150627,18,475,237.5,5,0.5,0.2,1,0,250
148,170,150627,19,2,1,0,0.48,-0.02,0,0,53
149,171,150627,19,31,15.5,0,0.48,-0.02,0,0,53
150,172,150627,19,57,28.5,0,0.48,-0.02,0,0,53
151,2220,150627,19,82,41,0,0.48,-0.02,0,0,53
152,173,150627,20,5,2.5,5,0.59,0.07,1,0,70
153,174,150627,20,35,17.5,5,0.59,0.07,1,0,70
154,175,150627,20,65,32.5,5,0.59,0.07,1,0,70
155,176,150627,20,94,47,5,0.59,0.07,1,0,70
156,177,150627,20,124,62,5,0.59,0.07,1,0,70
157,26,150703,22,2,1,0,0.63,0.1,0,6,196
158,178,150703,22,38,19,0,0.63,0.1,0,6,196
159,179,150703,22,66,33,0,0.63,0.1,0,6,196
160,180,150703,22,104,52,0,0.63,0.1,0,6,196
161,181,150703,22,134,67,0,0.63,0.1,0,6,196
162,182,150703,22,164,82,0,0.63,0.1,0,6,196
163,183,150703,22,201,100.5,0,0.63,0.1,0,6,196
164,184,150703,22,230,115,0,0.63,0.1,0,6,196
165,185,150703,22,259,129.5,0,0.63,0.1,0,6,196
166,186,150703,22,291,145.5,0,0.63,0.1,0,6,196
167,187,150703,22,326,163,0,0.63,0.1,0,6,196
168,188,150703,22,353,176.5,0,0.63,0.1,0,6,196
169,2221,150703,22,380,190,0,0.63,0.1,0,6,196
170,2222,150703,23,11,5.5,1,0.44,0.07,1,6,101
171,189,150703,23,19,9.5,1,0.44,0.07,1,6,101
172,190,150703,23,52,26,1,0.44,0.07,1,6,101
173,191,150703,23,81,40.5,1,0.44,0.07,1,6,101
174,192,150703,23,104,52,1,0.44,0.07,1,6,101
175,193,150703,23,137,68.5,1,0.44,0.07,1,6,101
176,194,150703,23,166,83,1,0.44,0.07,1,6,101
177,2224,150703,24,19,9.5,2,0.56,0,0,6,117
178,195,150703,24,24,12,2,0.56,0,0,6,117
179,196,150703,24,54,27,2,0.56,0,0,6,117
180,197,150703,24,87,43.5,2,0.56,0,0,6,117
181,198,150703,24,111,55.5,2,0.56,0,0,6,117
182,199,150703,24,140,70,2,0.56,0,0,6,117
183,200,150703,24,176,88,2,0.56,0,0,6,117
184,201,150703,24,207,103.5,2,0.56,0,0,6,117
185,202,150703,25,2,1,3,0.73,0.29,1,6,172
186,203,150703,25,35,17.5,3,0.73,0.29,1,6,172
187,204,150703,25,77,38.5,3,0.73,0.29,1,6,172
188,205,150703,25,105,52.5,3,0.73,0.29,1,6,172
189,207,150703,25,159,79.5,3,0.73,0.29,1,6,172
190,208,150703,25,194,97,3,0.73,0.29,1,6,172
191,209,150703,25,226,113,3,0.73,0.29,1,6,172
192,210,150703,25,256,128,3,0.73,0.29,1,6,172
193,211,150703,25,302,151,3,0.73,0.29,1,6,172
194,2225,150703,25,333,166.5,3,0.73,0.29,1,6,172
195,2226,150703,26,20,10,4,0.75,0.48,0,6,221
196,212,150703,26,27,13.5,4,0.75,0.48,0,6,221
197,213,150703,26,53,26.5,4,0.75,0.48,0,6,221
198,214,150703,26,82,41,4,0.75,0.48,0,6,221
199,215,150703,26,106,53,4,0.75,0.48,0,6,221
200,216,150703,26,136,68,4,0.75,0.48,0,6,221
201,217,150703,26,163,81.5,4,0.75,0.48,0,6,221
202,218,150703,26,195,97.5,4,0.75,0.48,0,6,221
203,219,150703,26,225,112.5,4,0.75,0.48,0,6,221
204,220,150703,26,258,129,4,0.75,0.48,0,6,221
205,221,150703,26,287,143.5,4,0.75,0.48,0,6,221
206,222,150703,26,317,158.5,4,0.75,0.48,0,6,221
207,223,150703,26,355,177.5,4,0.75,0.48,0,6,221
208,224,150703,26,390,195,4,0.75,0.48,0,6,221
209,2227,150703,26,417,208.5,4,0.75,0.48,0,6,221
210,225,150703,27,5,2.5,5,0.51,0.26,1,6,225
211,226,150703,27,34,17,5,0.51,0.26,1,6,225
212,227,150703,27,68,34,5,0.51,0.26,1,6,225
213,228,150703,27,95,47.5,5,0.51,0.26,1,6,225
214,229,150703,27,124,62,5,0.51,0.26,1,6,225
215,230,150703,27,158,79,5,0.51,0.26,1,6,225
216,231,150703,27,185,92.5,5,0.51,0.26,1,6,225
217,232,150703,27,220,110,5,0.51,0.26,1,6,225
218,233,150703,27,252,126,5,0.51,0.26,1,6,225
219,234,150703,27,280,140,5,0.51,0.26,1,6,225
220,235,150703,27,310,155,5,0.51,0.26,1,6,225
221,237,150703,27,372,186,5,0.51,0.26,1,6,225
222,238,150703,27,402,201,5,0.51,0.26,1,6,225
223,2228,150703,27,428,214,5,0.51,0.26,1,6,225
224,239,150703,28,7,3.5,6,0.59,0.1,0,6,92
225,240,150703,28,36,18,6,0.59,0.1,0,6,92
226,241,150703,28,68,34,6,0.59,0.1,0,6,92
227,242,150703,28,98,49,6,0.59,0.1,0,6,92
228,243,150703,28,127,63.5,6,0.59,0.1,0,6,92
229,2229,150703,28,158,79,6,0.59,0.1,0,6,92
230,244,150703,29,5,2.5,3,0.42,0.01,1,6,42
231,245,150703,29,40,20,3,0.42,0.01,1,6,42
232,2231,150703,30,20,10,7,0.48,0.06,1,6,118
233,246,150703,30,28,14,7,0.48,0.06,1,6,118
234,247,150703,30,64,32,7,0.48,0.06,1,6,118
235,248,150703,30,99,49.5,7,0.48,0.06,1,6,118
236,249,150703,30,129,64.5,7,0.48,0.06,1,6,118
237,250,150703,30,165,82.5,7,0.48,0.06,1,6,118
238,251,150703,30,191,95.5,7,0.48,0.06,1,6,118
239,2232,150703,30,222,111,7,0.48,0.06,1,6,118
240,252,150703,31,15,7.5,8,0.53,0.05,1,6,81
241,253,150703,31,43,21.5,8,0.53,0.05,1,6,81
242,254,150703,31,69,34.5,8,0.53,0.05,1,6,81
243,255,150703,31,100,50,8,0.53,0.05,1,6,81
244,256,150703,31,124,62,8,0.53,0.05,1,6,81
245,2234,150703,31,159,79.5,8,0.53,0.05,1,6,81
246,2235,150703,32,18,9,9,0.56,0.09,0,6,18
247,257,150703,32,24,12,9,0.56,0.09,0,6,18
248,27,150704,34,2,1,0,0.71,0.02,0,1,173
249,258,150704,34,39,19.5,0,0.71,0.02,0,1,173
250,259,150704,34,75,37.5,0,0.71,0.02,0,1,173
251,260,150704,34,105,52.5,0,0.71,0.02,0,1,173
252,261,150704,34,147,73.5,0,0.71,0.02,0,1,173
253,262,150704,34,179,89.5,0,0.71,0.02,0,1,173
254,263,150704,34,212,106,0,0.71,0.02,0,1,173
255,264,150704,34,249,124.5,0,0.71,0.02,0,1,173
256,265,150704,34,284,142,0,0.71,0.02,0,1,173
257,266,150704,34,312,156,0,0.71,0.02,0,1,173
258,2237,150704,35,18,9,1,0.55,0.26,1,1,159
259,267,150704,35,24,12,1,0.55,0.26,1,1,159
260,268,150704,35,56,28,1,0.55,0.26,1,1,159
261,269,150704,35,88,44,1,0.55,0.26,1,1,159
262,270,150704,35,119,59.5,1,0.55,0.26,1,1,159
263,271,150704,35,153,76.5,1,0.55,0.26,1,1,159
264,272,150704,35,188,94,1,0.55,0.26,1,1,159
265,273,150704,35,215,107.5,1,0.55,0.26,1,1,159
266,274,150704,35,244,122,1,0.55,0.26,1,1,159
267,275,150704,35,271,135.5,1,0.55,0.26,1,1,159
268,2238,150704,35,303,151.5,1,0.55,0.26,1,1,159
269,2239,150704,36,15,7.5,2,0.57,0.12,0,1,250
270,276,150704,36,20,10,2,0.57,0.12,0,1,250
271,277,150704,36,47,23.5,2,0.57,0.12,0,1,250
272,278,150704,36,84,42,2,0.57,0.12,0,1,250
273,279,150704,36,115,57.5,2,0.57,0.12,0,1,250
274,280,150704,36,148,74,2,0.57,0.12,0,1,250
275,281,150704,36,183,91.5,2,0.57,0.12,0,1,250
276,282,150704,36,216,108,2,0.57,0.12,0,1,250
277,283,150704,36,249,124.5,2,0.57,0.12,0,1,250
278,284,150704,36,276,138,2,0.57,0.12,0,1,250
279,285,150704,36,310,155,2,0.57,0.12,0,1,250
280,286,150704,36,346,173,2,0.57,0.12,0,1,250
281,287,150704,36,378,189,2,0.57,0.12,0,1,250
282,288,150704,36,407,203.5,2,0.57,0.12,0,1,250
283,289,150704,36,444,222,2,0.57,0.12,0,1,250
284,2240,150704,36,483,241.5,2,0.57,0.12,0,1,250
285,290,150704,37,13,6.5,3,0.49,0.06,1,1,70
286,291,150704,37,40,20,3,0.49,0.06,1,1,70
287,292,150704,37,69,34.5,3,0.49,0.06,1,1,70
288,293,150704,37,100,50,3,0.49,0.06,1,1,70
289,2242,150704,37,127,63.5,3,0.49,0.06,1,1,70
290,2243,150704,38,12,6,4,0.7,0.19,0,1,103
291,294,150704,38,20,10,4,0.7,0.19,0,1,103
292,295,150704,38,45,22.5,4,0.7,0.19,0,1,103
293,296,150704,38,74,37,4,0.7,0.19,0,1,103
294,297,150704,38,101,50.5,4,0.7,0.19,0,1,103
295,298,150704,38,127,63.5,4,0.7,0.19,0,1,103
296,299,150704,38,162,81,4,0.7,0.19,0,1,103
297,2244,150704,39,15,7.5,5,0.25,-0.05,1,1,156
298,300,150704,39,26,13,5,0.25,-0.05,1,1,156
299,301,150704,39,64,32,5,0.25,-0.05,1,1,156
300,302,150704,39,96,48,5,0.25,-0.05,1,1,156
301,303,150704,39,128,64,5,0.25,-0.05,1,1,156
302,304,150704,39,163,81.5,5,0.25,-0.05,1,1,156
303,305,150704,39,189,94.5,5,0.25,-0.05,1,1,156
304,306,150704,39,215,107.5,5,0.25,-0.05,1,1,156
305,307,150704,39,244,122,5,0.25,-0.05,1,1,156
306,2245,150704,39,281,140.5,5,0.25,-0.05,1,1,156
307,308,150704,40,6,3,2,0.82,0.07,0,1,139
308,309,150704,40,42,21,2,0.82,0.07,0,1,139
309,310,150704,40,71,35.5,2,0.82,0.07,0,1,139
310,311,150704,40,104,52,2,0.82,0.07,0,1,139
311,312,150704,40,138,69,2,0.82,0.07,0,1,139
312,313,150704,40,165,82.5,2,0.82,0.07,0,1,139
313,314,150704,40,198,99,2,0.82,0.07,0,1,139
314,315,150704,40,242,121,2,0.82,0.07,0,1,139
315,2247,150704,41,15,7.5,1,0.56,0.38,1,1,179
316,316,150704,41,21,10.5,1,0.56,0.38,1,1,179
317,317,150704,41,52,26,1,0.56,0.38,1,1,179
318,318,150704,41,84,42,1,0.56,0.38,1,1,179
319,319,150704,41,125,62.5,1,0.56,0.38,1,1,179
320,320,150704,41,151,75.5,1,0.56,0.38,1,1,179
321,321,150704,41,178,89,1,0.56,0.38,1,1,179
322,322,150704,41,209,104.5,1,0.56,0.38,1,1,179
323,323,150704,41,239,119.5,1,0.56,0.38,1,1,179
324,324,150704,41,270,135,1,0.56,0.38,1,1,179
325,325,150704,41,304,152,1,0.56,0.38,1,1,179
326,326,150704,41,339,169.5,1,0.56,0.38,1,1,179
327,28,150711,43,2,1,0,0.59,-0.07,1,9,122
328,327,150711,43,32,16,0,0.59,-0.07,1,9,122
329,328,150711,43,60,30,0,0.59,-0.07,1,9,122
330,329,150711,43,88,44,0,0.59,-0.07,1,9,122
331,330,150711,43,121,60.5,0,0.59,-0.07,1,9,122
332,331,150711,43,150,75,0,0.59,-0.07,1,9,122
333,332,150711,43,184,92,0,0.59,-0.07,1,9,122
334,333,150711,43,213,106.5,0,0.59,-0.07,1,9,122
335,334,150711,44,33,16.5,1,0.57,0.16,0,9,250
336,335,150711,44,60,30,1,0.57,0.16,0,9,250
337,336,150711,44,95,47.5,1,0.57,0.16,0,9,250
338,337,150711,44,130,65,1,0.57,0.16,0,9,250
339,338,150711,44,163,81.5,1,0.57,0.16,0,9,250
340,339,150711,44,189,94.5,1,0.57,0.16,0,9,250
341,340,150711,44,216,108,1,0.57,0.16,0,9,250
342,341,150711,44,245,122.5,1,0.57,0.16,0,9,250
343,342,150711,44,276,138,1,0.57,0.16,0,9,250
344,343,150711,44,306,153,1,0.57,0.16,0,9,250
345,344,150711,44,339,169.5,1,0.57,0.16,0,9,250
346,345,150711,44,368,184,1,0.57,0.16,0,9,250
347,346,150711,44,397,198.5,1,0.57,0.16,0,9,250
348,347,150711,44,428,214,1,0.57,0.16,0,9,250
349,348,150711,44,458,229,1,0.57,0.16,0,9,250
350,2249,150711,44,487,243.5,1,0.57,0.16,0,9,250
351,349,150711,45,21,10.5,2,0.7,0.27,1,9,240
352,350,150711,45,61,30.5,2,0.7,0.27,1,9,240
353,351,150711,45,90,45,2,0.7,0.27,1,9,240
354,352,150711,45,116,58,2,0.7,0.27,1,9,240
355,353,150711,45,148,74,2,0.7,0.27,1,9,240
356,354,150711,45,177,88.5,2,0.7,0.27,1,9,240
357,355,150711,45,214,107,2,0.7,0.27,1,9,240
358,356,150711,45,246,123,2,0.7,0.27,1,9,240
359,357,150711,45,278,139,2,0.7,0.27,1,9,240
360,358,150711,45,308,154,2,0.7,0.27,1,9,240
361,359,150711,45,331,165.5,2,0.7,0.27,1,9,240
362,360,150711,45,359,179.5,2,0.7,0.27,1,9,240
363,361,150711,45,383,191.5,2,0.7,0.27,1,9,240
364,362,150711,45,412,206,2,0.7,0.27,1,9,240
365,363,150711,45,442,221,2,0.7,0.27,1,9,240
366,364,150711,46,2,1,3,0.59,0.29,0,9,172
367,365,150711,46,32,16,3,0.59,0.29,0,9,172
368,366,150711,46,57,28.5,3,0.59,0.29,0,9,172
369,367,150711,46,89,44.5,3,0.59,0.29,0,9,172
370,368,150711,46,121,60.5,3,0.59,0.29,0,9,172
371,369,150711,46,150,75,3,0.59,0.29,0,9,172
372,370,150711,46,178,89,3,0.59,0.29,0,9,172
373,371,150711,46,211,105.5,3,0.59,0.29,0,9,172
374,372,150711,46,241,120.5,3,0.59,0.29,0,9,172
375,373,150711,46,275,137.5,3,0.59,0.29,0,9,172
376,374,150711,46,307,153.5,3,0.59,0.29,0,9,172
377,2251,150711,46,332,166,3,0.59,0.29,0,9,172
378,375,150711,47,18,9,4,0.63,0.22,1,9,271
379,376,150711,47,52,26,4,0.63,0.22,1,9,271
380,377,150711,47,76,38,4,0.63,0.22,1,9,271
381,378,150711,47,108,54,4,0.63,0.22,1,9,271
382,379,150711,47,140,70,4,0.63,0.22,1,9,271
383,380,150711,47,170,85,4,0.63,0.22,1,9,271
384,381,150711,47,199,99.5,4,0.63,0.22,1,9,271
385,382,150711,47,224,112,4,0.63,0.22,1,9,271
386,383,150711,47,254,127,4,0.63,0.22,1,9,271
387,384,150711,47,281,140.5,4,0.63,0.22,1,9,271
388,386,150711,47,341,170.5,4,0.63,0.22,1,9,271
389,387,150711,47,378,189,4,0.63,0.22,1,9,271
390,388,150711,47,414,207,4,0.63,0.22,1,9,271
391,389,150711,47,443,221.5,4,0.63,0.22,1,9,271
392,390,150711,47,480,240,4,0.63,0.22,1,9,271
393,2253,150711,47,517,258.5,4,0.63,0.22,1,9,271
394,391,150711,48,4,2,5,0.55,0.18,0,9,268
395,392,150711,48,32,16,5,0.55,0.18,0,9,268
396,393,150711,48,65,32.5,5,0.55,0.18,0,9,268
397,394,150711,48,103,51.5,5,0.55,0.18,0,9,268
398,395,150711,48,132,66,5,0.55,0.18,0,9,268
399,396,150711,48,162,81,5,0.55,0.18,0,9,268
400,397,150711,48,195,97.5,5,0.55,0.18,0,9,268
401,398,150711,48,225,112.5,5,0.55,0.18,0,9,268
402,399,150711,48,257,128.5,5,0.55,0.18,0,9,268
403,400,150711,48,287,143.5,5,0.55,0.18,0,9,268
404,401,150711,48,312,156,5,0.55,0.18,0,9,268
405,402,150711,48,345,172.5,5,0.55,0.18,0,9,268
406,403,150711,48,378,189,5,0.55,0.18,0,9,268
407,404,150711,48,416,208,5,0.55,0.18,0,9,268
408,405,150711,48,443,221.5,5,0.55,0.18,0,9,268
409,406,150711,48,479,239.5,5,0.55,0.18,0,9,268
410,407,150711,48,510,255,5,0.55,0.18,0,9,268
411,409,150711,49,60,30,6,0.52,0.07,1,9,203
412,411,150711,49,117,58.5,6,0.52,0.07,1,9,203
413,412,150711,49,148,74,6,0.52,0.07,1,9,203
414,413,150711,49,181,90.5,6,0.52,0.07,1,9,203
415,414,150711,49,211,105.5,6,0.52,0.07,1,9,203
416,415,150711,49,243,121.5,6,0.52,0.07,1,9,203
417,416,150711,49,273,136.5,6,0.52,0.07,1,9,203
418,417,150711,49,302,151,6,0.52,0.07,1,9,203
419,418,150711,49,335,167.5,6,0.52,0.07,1,9,203
420,419,150711,49,368,184,6,0.52,0.07,1,9,203
421,2255,150711,49,395,197.5,6,0.52,0.07,1,9,203
422,2256,150711,50,11,5.5,7,0.55,0.03,1,9,138
423,420,150711,50,16,8,7,0.55,0.03,1,9,138
424,421,150711,50,39,19.5,7,0.55,0.03,1,9,138
425,422,150711,50,74,37,7,0.55,0.03,1,9,138
426,423,150711,50,105,52.5,7,0.55,0.03,1,9,138
427,424,150711,50,128,64,7,0.55,0.03,1,9,138
428,425,150711,50,156,78,7,0.55,0.03,1,9,138
429,426,150711,50,186,93,7,0.55,0.03,1,9,138
430,427,150711,50,215,107.5,7,0.55,0.03,1,9,138
431,428,150711,50,245,122.5,7,0.55,0.03,1,9,138
432,429,150711,51,2,1,3,0.48,0.03,0,9,64
433,430,150711,51,35,17.5,3,0.48,0.03,0,9,64
434,431,150711,51,65,32.5,3,0.48,0.03,0,9,64
435,432,150711,51,97,48.5,3,0.48,0.03,0,9,64
436,29,141206,53,3,1.5,0,0.71,0.01,1,5,62
437,433,141206,53,37,18.5,0,0.71,0.01,1,5,62
438,434,141206,53,73,36.5,0,0.71,0.01,1,5,62
439,2257,141206,53,107,53.5,0,0.71,0.01,1,5,62
440,2258,141206,54,11,5.5,1,0.26,-0.03,0,5,85
441,435,141206,54,19,9.5,1,0.26,-0.03,0,5,85
442,436,141206,54,47,23.5,1,0.26,-0.03,0,5,85
443,437,141206,54,77,38.5,1,0.26,-0.03,0,5,85
444,438,141206,54,111,55.5,1,0.26,-0.03,0,5,85
445,439,141206,54,142,71,1,0.26,-0.03,0,5,85
446,440,141206,55,2,1,2,0.8,0.06,1,5,80
447,441,141206,55,41,20.5,2,0.8,0.06,1,5,80
448,442,141206,55,77,38.5,2,0.8,0.06,1,5,80
449,443,141206,55,104,52,2,0.8,0.06,1,5,80
450,444,141206,55,128,64,2,0.8,0.06,1,5,80
451,2259,141206,56,25,12.5,3,0.6,0.4,0,5,213
452,445,141206,56,32,16,3,0.6,0.4,0,5,213
453,446,141206,56,62,31,3,0.6,0.4,0,5,213
454,447,141206,56,93,46.5,3,0.6,0.4,0,5,213
455,448,141206,56,124,62,3,0.6,0.4,0,5,213
456,449,141206,56,150,75,3,0.6,0.4,0,5,213
457,450,141206,56,178,89,3,0.6,0.4,0,5,213
458,451,141206,56,208,104,3,0.6,0.4,0,5,213
459,452,141206,56,241,120.5,3,0.6,0.4,0,5,213
460,453,141206,56,269,134.5,3,0.6,0.4,0,5,213
